Player Name,Season Start, Salary,,,,
Patrick Ewing,1990,4250000.00,,,,
Hot Rod Williams,1990,3785000.00,,,,
Hakeem Olajuwon,1990,3175000.00,,,,
Charles Barkley,1990,2900000.00,,,,
Chris Mullin,1990,2850000.00,,,,
Isiah Thomas,1990,2720000.00,,,,
Danny Ferry,1990,2640000.00,,,,
Michael Jordan,1990,2500000.00,,,,
Robert Parish,1990,2500000.00,,,,
Moses Malone,1990,2406000.00,,,,
Magic Johnson,1990,2400000.00,,,,
Wayman Tisdale,1990,2330000.00,,,,
Pervis Ellison,1990,2300000.00,,,,
David Robinson,1990,2265000.00,,,,
Karl Malone,1990,2260000.00,,,,
Ralph Sampson,1990,2250000.00,,,,
Danny Manning,1990,2200000.00,,,,
Blair Rasmussen,1990,2185000.00,,,,
Chuck Person,1990,2150000.00,,,,
Derrick Coleman,1990,2100000.00,,,,
Dominique Wilkins,1990,2065000.00,,,,
Tom Chambers,1990,2060000.00,,,,
John Stockton,1990,2000000.00,,,,
LaSalle Thompson,1990,2000000.00,,,,
Mark Eaton,1990,2000000.00,,,,
Sam Bowie,1990,2000000.00,,,,
Terry Porter,1990,2000000.00,,,,
Willie Burton,1990,2000000.00,,,,
Sam Perkins,1990,1970000.00,,,,
Terry Cummings,1990,1860000.00,,,,
Sean Elliott,1990,1800000.00,,,,
Mark Jackson,1990,1785000.00,,,,
Otis Thorpe,1990,1760000.00,,,,
A.C. Green,1990,1750000.00,,,,
Benoit Benjamin,1990,1750000.00,,,,
Kevin Johnson,1990,1750000.00,,,,
Kevin Duckworth,1990,1710000.00,,,,
Alton Lister,1990,1700000.00,,,,
Gary Payton,1990,1685000.00,,,,
Mahmoud Abdul-Rauf,1990,1660000.00,,,,
Mike Gminski,1990,1650000.00,,,,
Rolando Blackman,1990,1650000.00,,,,
Alec Kessler,1990,1600000.00,,,,
Bernard King,1990,1600000.00,,,,
Jack Sikma,1990,1600000.00,,,,
James Worthy,1990,1600000.00,,,,
Dennis Scott,1990,1560000.00,,,,
Buck Williams,1990,1550000.00,,,,
Glen Rice,1990,1550000.00,,,,
Jon Koncak,1990,1550000.00,,,,
Derek Harper,1990,1519000.00,,,,
Fat Lever,1990,1519000.00,,,,
Bill Laimbeer,1990,1510000.00,,,,
Alex English,1990,1500000.00,,,,
Danny Schayes,1990,1500000.00,,,,
